numberOfItems,greedy,dynamicProgramming
1000,145,2624,
1100,163,3353,
1200,142,4312,
1300,197,4783,
1400,178,5314,
1500,171,5896,
1600,185,6834,
1700,213,7353,
1800,214,8214,
1900,229,9523,
2000,250,10424,
2100,284,11790,
2200,370,12713,
2300,463,14096,
2400,331,14486,
2500,335,15744,
2600,339,17327,
2700,356,18574,
2800,366,19606,
2900,388,20992,
3000,375,21896,
3100,439,24048,
3200,438,24937,
3300,420,27393,
3400,438,28111,
3500,467,29975,
3600,492,31667,
3700,530,33803,
3800,497,35592,
3900,511,37776,
4000,536,39051,
4100,606,42118,
4200,573,42889,
4300,644,45560,
4400,593,47395,
4500,632,50382,
4600,631,55108,
4700,692,55008,
4800,652,56667,
4900,709,58973,
5000,735,62267,
5100,697,63288,
5200,743,65592,
5300,773,68625,
5400,842,70613,
5500,740,73528,
5600,795,76516,
5700,746,79135,
5800,805,82013,
5900,778,83851,
6000,802,86812,
6100,835,90412,
6200,867,92719,
6300,832,96124,
6400,857,98467,
6500,928,101388,
6600,896,104787,
6700,970,107974,
6800,936,115895,
6900,924,113546,
7000,955,117736,
7100,944,119136,
7200,976,124332,
7300,1030,126384,
7400,1023,130348,
7500,1018,141054,
7600,1160,137247,
7700,1067,140582,
7800,1065,147658,
7900,1082,147539,
8000,1139,150288,
8100,1158,155573,
8200,1222,160084,
8300,1270,168287,
8400,1195,166288,
8500,1202,170121,
8600,1233,173959,
8700,1274,177731,
8800,1262,183767,
8900,1286,186330,
9000,1306,190342,
9100,1286,196542,
9200,1296,197450,
9300,1369,203442,
9400,1345,207527,
9500,1352,212548,
9600,1375,215325,
9700,1398,222568,
9800,1430,225775,
9900,1440,230919,
10000,1464,233690,
